1566611280.0,Created on: ,2019-08-23 21:48:00.156
Timestamp,Barometer,Temperature
2019-08-23 21:48:00.156,12,25
2019-08-23 21:48:03.156,14,21
2019-08-23 21:48:06.156,13,25
