1566611144.85,Created on: ,2019-08-23 21:45:44.156
Timestamp,Barometer,Temperature
2019-08-23 21:45:44.156,11,26
2019-08-23 21:45:47.156,13,21
2019-08-23 21:45:50.156,15,26
