1566611153.86,Created on: ,2019-08-23 21:45:53.156
Timestamp,Barometer,Temperature
2019-08-23 21:45:53.156,15,21
2019-08-23 21:45:56.156,15,23
2019-08-23 21:45:59.156,14,26
