1566611373.1,Created on: ,2019-08-23 21:49:33.156
Timestamp,Barometer,Temperature
2019-08-23 21:49:33.156,12,24
2019-08-23 21:49:36.156,14,22
2019-08-23 21:49:39.156,11,23
