1566611810.74,Created on: ,2019-08-23 21:56:50.156
Timestamp,Barometer,Temperature
2019-08-23 21:56:50.156,11,23
2019-08-23 21:56:53.156,11,23
2019-08-23 21:56:56.156,11,24
2019-08-23 21:56:59.156,13,23
