1566610568.93,Created on: ,2019-08-23 21:36:08.156
Timestamp,Barometer,Temperature
2019-08-23 21:36:11.156,12,26
2019-08-23 21:36:14.156,15,22
2019-08-23 21:36:17.156,13,26
