1566611298.02,Created on: ,2019-08-23 21:48:18.156
Timestamp,Barometer,Temperature
2019-08-23 21:48:18.156,16,25
2019-08-23 21:48:21.156,13,25
2019-08-23 21:48:24.156,12,24
