1566507236.65,Created on: ,2019-08-22 16:53:56.156
Timestamp,Barometer,Temperature
2019-08-22 16:53:58.156,122,3214
2019-08-22 16:53:59.156,122,3214
2019-08-22 16:54:00.156,122,3214
2019-08-22 16:54:01.156,122,3214
2019-08-22 16:54:02.156,122,3214
2019-08-22 16:54:03.156,122,3214
2019-08-22 16:54:04.156,122,3214
2019-08-22 16:54:05.156,122,3214
2019-08-22 16:54:06.156,122,3214
2019-08-22 16:54:07.156,122,3214
2019-08-22 16:54:08.156,122,3214
2019-08-22 16:54:09.156,122,3214
2019-08-22 16:54:10.156,122,3214
2019-08-22 16:54:11.156,122,3214
2019-08-22 16:54:12.156,122,3214
2019-08-22 16:54:13.156,122,3214
2019-08-22 16:54:14.156,122,3214
2019-08-22 16:54:15.156,122,3214
2019-08-22 16:54:16.156,122,3214
2019-08-22 16:54:17.156,122,3214
2019-08-22 16:54:18.156,122,3214
2019-08-22 16:54:19.156,122,3214
