1566611171.88,Created on: ,2019-08-23 21:46:11.156
Timestamp,Barometer,Temperature
2019-08-23 21:46:11.156,11,21
2019-08-23 21:46:14.156,15,26
2019-08-23 21:46:17.156,15,22
